title,critic_score,critic_sentiment,audience_score,audience_sentiment
Rising Phoenix,85%,positive,91%,positive
Rock On!,,,87%,positive
Stay on Board: The Leo Baker Story,100%,positive,83%,positive
Take Your Pills: Xanax,,,63%,positive
The Turnaround,,,,
Winter on Fire: Ukraine's Fight for Freedom,89%,positive,92%,positive
A Babysitter's Guide to Monster Hunting,70%,positive,46%,negative
Adú,83%,positive,74%,positive
Benjamin,,,8%,negative
Bhakshak,50%,negative,87%,positive
Borderless Fog,,,35%,negative
Broad Peak,,,50%,negative
Gridlocked,60%,positive,42%,negative
Happiness Is,,,,
Invisible,86%,positive,62%,positive
Jimmy Carr: Natural Born Killer,,,42%,negative
John Mulaney: Kid Gorgeous at Radio City,100%,positive,91%,positive
Justin Bieber's Believe,53%,negative,59%,negative
King of Clones,100%,positive,33%,negative
Monster Hunter: Legends of the Guild,,,39%,negative
Rita Moreno: Just a Girl Who Decided to Go For It,96%,positive,93%,positive
Seeing Allred,100%,positive,82%,positive
Sheng Wang: Sweet & Juicy,,,98%,positive
The Champion,83%,positive,57%,negative
The Man Who Feels No Pain,95%,positive,78%,positive
Trees of Peace,83%,positive,83%,positive
Unknown: Cosmic Time Machine,,,86%,positive
A Naija Christmas,,,,
"Bikram: Yogi, Guru, Predator",96%,positive,74%,positive
Da Kath & Kim Code,,,75%,positive
Desperados,16%,negative,31%,negative
Fukrey,50%,negative,56%,negative
Hasee Toh Phasee,80%,positive,59%,negative
Honeymoon Travels Pvt. Ltd.,,,51%,negative
Indigo Girls: It's Only Life After All,93%,positive,85%,positive
Irul,0%,negative,42%,negative
Jailbreak: Love on the Run,,,,
Justin Willman: Magic Lover,,,,
Kabhi Haan Kabhi Naa,,,83%,positive
Kill Dil,50%,negative,24%,negative
Life Overtakes Me,100%,positive,72%,positive
Private Lesson,,,,
Race to the Summit,,,67%,positive
Stromboli,,,77%,positive
Take Your Pills,58%,negative,46%,negative
Talentime,,,93%,positive
The Sky Is Pink,73%,positive,91%,positive
We Lost Our Human,,,80%,positive
13 Bombs,50%,negative,70%,positive
Budapest,,,33%,negative
Choked: Paisa Bolta Hai,50%,negative,52%,negative
City of Joy,100%,positive,71%,positive
Conan O'Brien: The Kennedy Center Mark Twain Prize for American Humor,,,,
Deidra & Laney Rob a Train,92%,positive,54%,negative
Disco Inferno,,,39%,negative
Happy Anniversary,80%,positive,48%,negative
High & Low: The Movie,,,,
Jogi,60%,positive,91%,positive
Juanita,82%,positive,63%,positive
Kath & Kimderella,26%,negative,35%,negative
Lobola Man,,,80%,positive
Lulli,,,33%,negative
Manson Family Vacation,100%,positive,55%,negative
Mike Birbiglia: My Girlfriend's Boyfriend,100%,positive,86%,positive
Norman's Rare Guitars Documentary,,,,
One More Time,,,58%,negative
Pachamama,,,95%,positive
Pyaar Ka Punchnama,,,60%,positive
Ricky Gervais: Humanity,47%,negative,87%,positive
Ronny Chieng: Love To Hate It,,,,
Semi-Soeter,,,,
The Death and Life of Marsha P. Johnson,97%,positive,73%,positive
The Main Event,29%,negative,26%,negative
Tim Dillon: This Is Your Country,,,69%,positive
Too Young the Hero,,,58%,negative
Ungli,0%,negative,37%,negative
AK vs AK,71%,positive,73%,positive
Agneepath,,,93%,positive
Audrey,79%,positive,69%,positive
Cowspiracy: The Sustainability Secret,,,88%,positive
Cyberbunker: The Criminal Underworld,,,95%,positive
Dancing Queens,40%,negative,58%,negative
Doll House,,,75%,positive
Drive,0%,negative,32%,negative
Elf Pets: Santa's St. Bernards Save Christmas,,,,
Extremis,,,74%,positive
Fe@rLeSS_,,,38%,negative
Guilty,55%,negative,89%,positive
Indoo Ki Jawani,,,,
Kevin Hart: Irresponsible,100%,positive,39%,negative
Luck by Chance,83%,positive,67%,positive
Malibu Rescue,,,58%,negative
Mitt,83%,positive,70%,positive
Quincy,82%,positive,82%,positive
Resort to Love,65%,positive,86%,positive
Rockstar: DUKI from the End of the World,,,,
Stamped From the Beginning,100%,positive,65%,positive
The Final: Attack on Wembley,100%,positive,73%,positive
The Perfect Dictatorship,,,77%,positive
The Seven Deadly Sins: Grudge of Edinburgh - Part 1,,,44%,negative
Tribhanga: Tedhi Medhi Crazy,83%,positive,57%,negative
Unspeakable Acts,,,53%,negative
Vini Jr.,,,27%,negative
Violet Evergarden: Recollections,,,96%,positive
Yeh Ballet,,,88%,positive
A Land Imagined,75%,positive,42%,negative
A Soweto Love Story,,,,
Bangistan,33%,negative,18%,negative
Black Barbie,96%,positive,63%,positive
Bright: Samurai Soul,40%,negative,33%,negative
Cora Bora,78%,positive,44%,negative
Deep,,,29%,negative
Fire in Paradise,83%,positive,77%,positive
Get Me Roger Stone,88%,positive,82%,positive
Girls With Balls,45%,negative,24%,negative
House of Ga'a,,,56%,negative
Katt Williams: Woke Foke,,,29%,negative
Meet the Khumalos,,,,
Modern Masters: SS Rajamouli,67%,positive,,
NAGA,60%,positive,54%,negative
One Two Ka Four,,,45%,negative
Perdida,,,31%,negative
Pete Holmes: I Am Not for Everyone,,,70%,positive
Psycho,,,,
Skandal! Bringing Down Wirecard,,,69%,positive
Skater Girl,88%,positive,85%,positive
Smaller and Smaller Circles,40%,negative,83%,positive
Sohni Mahiwal,,,73%,positive
The Dads,,,99%,positive
Three Songs for Benazir,,,61%,positive
99 Songs,86%,positive,,
Ali Wong: Single Lady,83%,positive,37%,negative
BEAUTY,22%,negative,14%,negative
Blood Brothers: Malcolm X & Muhammad Ali,94%,positive,83%,positive
Coin Heist,,,40%,negative
Cristela Alonzo: Upper Classy,,,,
Divines,84%,positive,74%,positive
Dusty Slay: Wet Heat,,,,
Force 2,58%,negative,44%,negative
Game,,,,
Gori Tere Pyaar Mein,36%,negative,28%,negative
Grizzly II: Revenge,,,,
Hantu Kak Limah,,,,
In Her Hands,58%,negative,36%,negative
Joy,93%,positive,76%,positive
Liberated: The New Sexual Revolution,,,55%,negative
Ludo,,,,
Mae Martin: SAP,80%,positive,61%,positive
Minted,82%,positive,,
Music Teacher,,,67%,positive
Nate Bargatze: The Tennessee Kid,,,96%,positive
Non Negotiable,29%,negative,33%,negative
Rosa Peral’s Tapes,,,38%,negative
Sergio,,,81%,positive
Sky Ladder: The Art of Cai Guo-Qiang,100%,positive,85%,positive
Sun Dogs,,,69%,positive
Take the 10,,,26%,negative
The Accidental Twins,,,90%,positive
The App,,,7%,negative
The Darkness within La Luz del Mundo,100%,positive,,
The Short Game,84%,positive,84%,positive
The Worthy,,,42%,negative
They'll Love Me When I'm Dead,92%,positive,82%,positive
iNumber Number: Jozi Gold,,,72%,positive
A King Like Me,,,,
A Stoning in Fulham County,,,21%,negative
A Triumph of the Heart: The Ricky Bell Story,,,,
Been So Long,92%,positive,64%,positive
Christina P: Mom Genes,,,66%,positive
Cici,,,77%,positive
Dead Kids,17%,negative,69%,positive
Earthquake: Joke Telling Business,,,,
Flashback,,,,
Friday Night Plan,54%,negative,73%,positive
Hero,,,,
Kevin Hart: What Now?,75%,positive,58%,negative
King of Boys,,,,
Living With Leopards ,,,86%,positive
Longest Third Date,67%,positive,71%,positive
Malaal,38%,negative,75%,positive
Mercy,,,13%,negative
Monster Run,,,50%,negative
Mumbai Mafia: Police vs The Underworld,,,90%,positive
My Heroes Were Cowboys,,,86%,positive
"Ram Dass, Going Home",,,68%,positive
Rumspringa,,,42%,negative
Taylor Tomlinson: Have It All,,,75%,positive
Technoboys,,,,
That's Amor,40%,negative,44%,negative
The Bros,,,50%,negative
The Ryan White Story,,,71%,positive
Trailer Park Boys: Countdown to Liquor Day,60%,positive,70%,positive
Ultras,,,37%,negative
A Journey,,,89%,positive
Ali & Ratu Ratu Queens,,,75%,positive
Bartkowiak,,,28%,negative
Black Beach,,,21%,negative
Elena,81%,positive,76%,positive
Fugitive: The Curious Case of Carlos Ghosn,,,39%,negative
Gumrah,,,67%,positive
Hannah Gadsby's Gender Agenda,,,27%,negative
Kaali Khuhi,56%,negative,22%,negative
Live is Life,,,93%,positive
Looop Lapeta,78%,positive,33%,negative
Love Is a Story,,,,
Mixed by Erry,,,93%,positive
Muqaddar Ka Faisla,,,,
Nate Jackson: Super Funny,,,,
Oh Darling! Yeh Hai India,,,25%,negative
One Hit Wonder,,,,
Pinkfong & Baby Shark's Space Adventure,,,,
"Rachel Bloom: Death, Let Me Do My Special",100%,positive,,
Red,,,,
Spivak,,,75%,positive
Suruli,30%,negative,52%,negative
The Lady of Silence: The Mataviejitas Murders,63%,positive,73%,positive
The Larva Island Movie,,,56%,negative
The Legend of Cocaine Island,78%,positive,60%,positive
The Martha Mitchell Effect,100%,positive,71%,positive
Trevor Noah: I Wish You Would,,,44%,negative
Unknown: Cave of Bones,75%,positive,58%,negative
What Are the Odds?,,,,
Ánimas,57%,negative,52%,negative
#Selfie,,,,
A Whole Lifetime with Jamie Demetriou,67%,positive,80%,positive
Alkhallat+,,,69%,positive
Andrew Santino: Cheeseburger,,,80%,positive
Bill Burr Presents: Friends Who Kill,,,11%,negative
Bill Burr: Paper Tiger,88%,positive,96%,positive
Bon Cop Bad Cop 2,75%,positive,72%,positive
Centaur,,,91%,positive
Chelsea Handler: The Feeling,,,,
Earth and Blood,,,78%,positive
Erax,,,,
Frank and Cindy,,,86%,positive
Freestyle,,,,
Hannah Berner: We Ride at Dawn,,,69%,positive
Hannah Gadsby: Douglas,93%,positive,66%,positive
Hannah Gadsby: Something Special,93%,positive,15%,negative
Inside Story,,,,
Ivy + Bean: The Ghost That Had to Go,,,78%,positive
Jack Whitehall: Christmas with my Father,,,17%,negative
Katt Williams: World War III,,,33%,negative
Long Live Brij Mohan,20%,negative,60%,positive
Mark Normand: Soup to Nuts,,,88%,positive
Mike Epps: Ready to Sell Out,,,38%,negative
Mission Blue,,,84%,positive
"Mon Laferte, te amo",,,100%,positive
"Out of Many, One",,,50%,negative
Paradox,29%,negative,40%,negative
Print the Legend,,,81%,positive
Sebastian Maniscalco: Stay Hungry,,,57%,negative
Solo,,,30%,negative
Strange Voices,,,,
Temple of Film: 100 Years of The Egyptian Theatre,,,,
The American Meme,92%,positive,75%,positive
Theo Von: Regular People,,,68%,positive
"Umjolo: My Beginning, My End!",,,,
Venus and Serena,77%,positive,69%,positive
A Sunday Affair,60%,positive,53%,negative
Adam Ray is Dr. Phil UNLEASHED,,,,
Barbie Princess Adventure,,,37%,negative
Barbie: Dolphin Magic,,,33%,negative
Brian Simpson: Live from the Mothership,,,75%,positive
Chhota Bheem: Dus Pe Dus,,,,
Diorama,67%,positive,,
Dusty Slay: Workin' Man,,,76%,positive
Father Soldier Son,91%,positive,73%,positive
Finding Agnes,,,86%,positive
First Match,85%,positive,81%,positive
Fortune Feimster: Crushing It,,,,
Jefe,,,22%,negative
Keys to the Heart,,,,
Madam Chief Minister,40%,negative,,
Magnificent,23%,negative,23%,negative
Moments,,,85%,positive
Period. End of Sentence.,75%,positive,84%,positive
"Phil Wang: Wang in There, Baby!",,,,
Quiet Victory: The Charlie Wedemeyer Story,,,,
Ralph Barbosa: Cowabunga,,,88%,positive
Rather,94%,positive,73%,positive
Revenge of the Pontianak,,,,
Roohi,,,,
Sawaal,,,91%,positive
Seasons,40%,negative,68%,positive
Spirit Riding Free: The Spirit of Christmas,,,,
Stavros Halkias: Fat Rascal,,,74%,positive
Tanda Tanya,,,,
Thambi,,,,
The Entitled,,,20%,negative
Tom Papa: What A Day!,,,86%,positive
Torching 2024: A Roast of the Year,,,24%,negative
Trevor Noah: Where Was I,,,45%,negative
Umjolo: There Is No Cure,,,,
Upstarts,,,,
Vir Das: Fool Volume,,,,
Vjeran Tomic: The Spider-Man of Paris,,,88%,positive
Yucatán,60%,positive,53%,negative
#Selfie69,,,,
A World Without,,,17%,negative
Aaviri,,,,
Ari Shaffir: America’s Sweetheart,,,,
Asura Guru,,,,
Beth Stelling: If You Didn't Want Me Then,,,68%,positive
Bill Burr: Live at Red Rocks,67%,positive,88%,positive
Casting JonBenét,81%,positive,49%,negative
Dear David,,,63%,positive
Dolly Kitty and Those Twinkling Stars,77%,positive,,
Firebrand,50%,negative,,
Friendship,,,64%,positive
Happiness Ever After,,,,
Hasan Minhaj: Homecoming King,78%,positive,86%,positive
Head to Head,,,80%,positive
Indian,,,81%,positive
Jared Freid: 37 and Single,,,92%,positive
Jewel,20%,negative,,
Jo Koy: Live from Brooklyn,,,77%,positive
Joe Rogan: Strange Times,,,81%,positive
Ladies First,,,71%,positive
Langston Kerman: Bad Poetry,,,,
Liza Treyger: Night Owl,,,,
"Love, Sex and 30 Candles",,,67%,positive
Masameer the Movie,,,,
Nayanthara: Beyond the Fairy Tale,,,,
Nick Kroll: Little Big Boy,,,83%,positive
Patria,,,,
Prince,,,,
Road to High & Low,,,,
Secret Lives of Orangutans,,,,
Secrets in the Hot Spring,,,80%,positive
Snoop Dogg's F*cn Around Comedy Special,,,70%,positive
Sommore: Queen Chandelier,,,99%,positive
Taylor Tomlinson: Look at You,,,87%,positive
"Tell Me Where I Should Go, My Heart",,,,
The Ivory Game,77%,positive,76%,positive
The Rope Curse 2,,,,
Tom Papa: Home Free,,,,
Toro,80%,positive,61%,positive
Uppena,,,,
Wild Dog,40%,negative,,
"¡Ay, mi madre!",,,,
"2,215",,,,
7 Años,,,69%,positive
85 South: Ghetto Legends,,,67%,positive
Aníkúlápó,,,75%,positive
Avicii - My Last Show,,,,
"Ayotzinapa, el paso de la tortuga",,,,
Battle: Freestyle,,,33%,negative
Becoming,93%,positive,56%,negative
Bigfoot Family,,,,
Blood Vessel,,,65%,positive
Chopsticks,20%,negative,72%,positive
Duniya,,,50%,negative
Girl's Revenge,,,,
Gladbeck: The Hostage Crisis,,,57%,negative
Have You Ever Seen Fireflies?,,,82%,positive
In Defense of a Married Man,,,,
In Line,,,,
It Takes a Lunatic,,,80%,positive
Jai Mummy Di,0%,negative,,
Joshua: Teenager vs. Superpower,93%,positive,84%,positive
Julia's Stepping Stones,,,,
Kappela,,,,
Love,,,,
Maska,14%,negative,50%,negative
Mike Birbiglia: Thank God for Jokes,100%,positive,77%,positive
Missed Connections,,,,
My Name Is Mo'Nique,,,52%,negative
My Own Man,,,67%,positive
Never Stop Dreaming: The Life and Legacy of Shimon Peres,,,75%,positive
One,,,,
One Day We'll Talk About Today,,,,
One Last Shot,,,,
Pulang,,,,
Reclaim,,,,
Refugee,,,50%,negative
Sam Jay: 3 in the Morning,86%,positive,62%,positive
Stand Out: An LGBTQ+ Celebration,,,50%,negative
Story of Kale: When Someone's in Love,,,,
Sue Bird: In the Clutch,86%,positive,,
The 9th Precinct,,,,
The Biggest Fan,,,,
The Dreamlife of Georgie Stone,,,67%,positive
The Queenstown Kings,,,,
The Rachel Divide,71%,positive,58%,negative
To Russia with Love,,,,
Trevor Noah: Afraid of the Dark,100%,positive,43%,negative
Umjolo: Day Ones,,,,
"Welcome, Now Get Lost",,,,
Will You Marry?,,,,
Zion,,,77%,positive
100% Halal,,,,
A Tale of Two Kitchens,,,43%,negative
All Because of You,,,,
Ankahi Kahaniya,55%,negative,,
Belmonte,87%,positive,57%,negative
Bhangra Paa Le,,,,
Boi,,,40%,negative
Bridezilla,,,,
C/O Kaadhal,,,,
Chief Daddy 2: Going for Broke,,,11%,negative
Classmates Minus,,,56%,negative
Convergence: Courage in a Crisis,82%,positive,,
Copenhagen Cowboy: Nightcall with Nicolas Winding Refn,,,,
Dave Attell: Hot Cross Buns,,,87%,positive
"Deon Cole: OK, Mister",,,,
Dinner,,,,
Elesin Oba: The King's Horseman,,,78%,positive
Fern Brady: Autistic Bikini Queen,,,88%,positive
Frank and Cindy,,,,
Guna 369,,,,
High Society,,,,
House Arrest,,,,
It's All Over: The Kiss That Changed Spanish Football,,,,
Jerry Seinfeld: 23 Hours to Kill,75%,positive,51%,negative
Kolaiyuthir Kaalam,,,,
La Luna,,,,
Lessons From a School Shooting: Notes From Dunblane,,,78%,positive
Love Goals,0%,negative,64%,positive
Love O2O,,,75%,positive
Mariposa,,,,
My Beautiful Broken Brain,,,75%,positive
My Failing Eyesight,,,,
ONEFOUR: Against All Odds,,,95%,positive
Pete Davidson: Turbo Fonzarelli,,,58%,negative
Professor,,,,
Rachel Feinstein: Big Guy,,,70%,positive
Rafa Márquez: El Capitán,,,71%,positive
Sardar Ka Grandson,20%,negative,41%,negative
Seriously Single,67%,positive,29%,negative
Shawn Mendes: In Wonder,47%,negative,79%,positive
"She Remembers, He Forgets",67%,positive,76%,positive
Soni,82%,positive,72%,positive
Swallow,,,,
The Assistant,,,60%,positive
The Masked Scammer,,,50%,negative
Tig,79%,positive,85%,positive
Trevor Noah: Son of Patricia,,,60%,positive
Tuesdays and Fridays,,,,
Vir Das: Landing,,,76%,positive
We Are Legends,,,,
What If,,,,
Whitney Cummings: Can I Touch It?,,,,
'76,,,20%,negative
After Maria,,,24%,negative
Amy Schumer's Parental Advisory,,,,
Black Sunshine Baby,,,,
Brother's Shadow,,,33%,negative
Catherine Cohen: The Twist...? She's Gorgeous.,,,73%,positive
Chelsea Handler: Revolution,,,50%,negative
Chhota Bheem Aur Krishna,,,,
Civil: Ben Crump,88%,positive,73%,positive
Cops and Robbers,,,,
Crossroads: One Two Jaga,80%,positive,78%,positive
Do Paise Ki Dhoop Chaar Aane Ki Baarish,,,,
Felipe Esparza: Raging Fool,,,,
Feminists: What Were They Thinking?,,,59%,negative
Flash of Love,,,,
Free to Play,,,76%,positive
Generasi 90an: Melankolia,,,,
Hasan Minhaj: Off With His Head,,,,
Hasan Minhaj: The King's Jester,86%,positive,79%,positive
I'll Sleep When I'm Dead,,,58%,negative
Ilary Blasi: The One and Only,,,58%,negative
Illusions for Sale: The Rise and Fall of Generation Zoe,,,,
Joe Rogan: Triggered,,,,
Kandasamys: The Baby,,,29%,negative
Keith Robinson: Different Strokes,,,67%,positive
Kilometers and Kilometers,,,,
Krishna and His Leela,80%,positive,,
Mark Cavendish: Never Enough,,,91%,positive
Michelle Buteau: A Buteau-ful Mind at Radio City Music Hall,,,,
Neal Brennan: Blocks,,,91%,positive
Neal Brennan: Crazy Good,,,97%,positive
R.K. Nagar,,,,
Rainbow,17%,negative,46%,negative
Red Ollero: Mabuhay Is a Lie,,,,
Salaakhen,,,,
Shania Twain: Not Just a Girl,,,75%,positive
Showtime 1958,,,96%,positive
Shéhérazade,,,83%,positive
Tersanjung: The Movie,,,,
The Charm of Love,,,,
The Improv: 60 and Still Standing,,,67%,positive
The Mars Generation,,,68%,positive
The Matchmaker,,,22%,negative
"The Other One: The Long, Strange Trip of Bob Weir",,,88%,positive
To and From New York,,,,
Torbaaz,,,,
UFO,,,,
Uma Maheswara Ugra Roopasya,,,,
Wanda Sykes: I'm An Entertainer,100%,positive,67%,positive
What Happened to Mr. Cha?,,,,
15-Aug,20%,negative,,
A Perfect Fit,,,,
Adam: His Song Continues,,,,
Adrienne Iapalucci: The Dark Queen,,,,
Aelay,,,,
Ahir Shah: Ends,,,,
Amrapali,,,,
Aruna & Her Palate,,,,
Bert Kreischer: Razzle Dazzle,,,56%,negative
Big Mäck: Gangsters and Gold,,,,
Black Is Beltza,,,,
Carlos Almaraz: Playing With Fire,,,,
Carnaval,33%,negative,31%,negative
Chestnut vs. Kobayashi: Unfinished Beef,,,,
Chris Distefano: Speshy Weshy,,,77%,positive
Deaw Special: Super Soft Power,,,,
Declaration,,,,
Deon Cole: Charleen's Boy,,,73%,positive
El club de los buenos infieles,,,50%,negative
For Our Children,,,,
Fortune Feimster: Good Fortune,,,85%,positive
Franco Escamilla: Ladies' Man,,,,
Gabriel Iglesias: Stadium Fluffy,,,66%,positive
Gad Elmaleh: American Dream,,,,
Heather McMahan: Son I Never Had,,,78%,positive
It's Worth It by Dani Rovira,,,,
Ivy + Bean: Doomed to Dance,,,57%,negative
Jack Whitehall: Settle Down,,,47%,negative
Jeff Dunham: Beside Himself,,,71%,positive
Johanna Nordström: Call the Police,,,,
Jonas,,,,
Just Say Yes,,,25%,negative
Kevin Hart: The Kennedy Center Mark Twain Prize for American Humor,,,14%,negative
Little Big Mouth,,,,
Little Miss Sumo,,,80%,positive
Makayla's Voice: A Letter to the World,,,,
Man of God,,,,
Maniyarayile Ashokan,,,,
Manmadhudu 2,,,,
Mehandi Circus,,,,
My Amanda,,,,
Nam June Paik: Moon is the Oldest TV,90%,positive,,
Panayotis Pascot: Almost,,,,
Perú: tesoro escondido,,,,
Pyaar Ke Do Pal,,,50%,negative
Rachid Badouri: Les fleurs du tapis,,,,
Rajma Chawal,57%,negative,,
Reversing Roe,88%,positive,65%,positive
Rhythm + Flow France: After the Beat,,,,
Rodrigo Marques: King of Uncouth,,,,
Ryan Hamilton: Happy Face,,,,
Silent,,,43%,negative
The Fort,,,,
The Joys and Sorrows of Young Yuguo,,,,
Thottappan,,,,
Tòkunbò,,,,
Unbroken,,,,
Yintah,,,,
Adam Devine: Best Time of Our Lives,,,80%,positive
Adhugo,,,,
Amandla,,,,
Bandie,,,,
"Celeste Barber: Fine, Thanks",,,64%,positive
Chad Daniels: Empty Nester,,,,
Chadi Jawani Budhe Nu,,,,
Chappelle's Home Team - Donnell Rawlings: A New Day,,,70%,positive
Chief Daddy,,,,
CounterPunch,,,57%,negative
DEAW#13 Udom Taephanich Stand Up Comedy Show,,,,
Demetri Martin: Demetri Deconstructed,,,60%,positive
Disconnect,,,,
E-Team,82%,positive,74%,positive
Fanatyk,,,,
Fortune Feimster: Sweet & Salty,,,85%,positive
Franco Escamilla: Eavesdropping,,,67%,positive
Furtive,,,40%,negative
Geez & Ann,,,,
Higuita: The Way of the Scorpion,,,50%,negative
Ijogbon,,,,
Iliza Shlesinger: Hot Forever,,,41%,negative
I’m Still a Superstar,,,,
Jaal,,,,
Jada,,,,
Jane Fonda & Lily Tomlin: Ladies Night Live,,,57%,negative
Jani Dueñas: Grandes fracasos de ayer y hoy,,,,
Jeff Dunham: Controlled Chaos,,,81%,positive
Jim Jefferies: High n' Dry,,,55%,negative
June & Kopi,,,75%,positive
Kabuki Akadousuzunosuke,,,,
Kevin Hart & Chris Rock: Headliners Only,,,,
Khoon Khoon,,,,
Kings of Mulberry Street: Let Love Reign,,,,
Kongsi Raya,,,,
La leyenda del diamante,,,,
Lal Patthar,,,,
LiSA Another Great Day,,,,
Love at First Stream,,,,
Manoranjan,,,,
Mujrim,,,,
Namaste Wahala,,,,
Princess Dayareese,,,,
Resurface,,,71%,positive
Romesh Ranganathan: The Cynic,,,78%,positive
Rooting for Roona,,,,
Sisters on Track,100%,positive,67%,positive
Sit Down with Stand Up Udom Taephanich ,,,,
Sitara: Let Girls Dream,,,77%,positive
Steve Treviño: Simple Man,,,,
The Hall: Honoring the Greats of Stand-Up,,,56%,negative
The Light We Carry: Michelle Obama and Oprah Winfrey,,,,
Time to Dance,,,,
Trippin' With the Kandasamys,,,67%,positive
Uriyadi 2,,,,
Whindersson Nunes: Preaching to the Choir,,,,
Whitney Cummings: Jokes,,,10%,negative
Your Excellency,,,,
Baby Mamas,,,,
Heroin(e),,,,
Kev Adams: The Real Me,,,,
Mathieu Dufour at Bell Centre,,,,
